Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude,Postcode_py,address_py
415,"The Dental Hub
 andImplant
 Centre","ShopNo.C-14/1&2,Main
 Road,MasoodpurMarket,
 VasantKunj,NewDelhi-
 110070.",,,,India,,,,,,28.523879,77.165915,0,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"The Dental Hub
 andImplant
 Centre, ShopNo.C-14/1&2,Main
 Road,MasoodpurMarket,
 VasantKunj,NewDelhi-
 110070., , ",28.530402,77.07923,122016,"Kapashera, Kapashera Tehsil, South West Delhi District, Delhi, 122016, India"
416,"Max Super
 Speciality Hospital","1, 2, Press Enclave Marg, Saket Institutional Area, Saket, New Delhi, Delhi",110017,,,India,,,,,,28.527638,77.2120949,ROOFTOP,"NABH /
 NABL
 Accredited","Cardiology&CardiothoracicSurgery,
 Laparoscopic/Endoscopicprocedures,
 Pulmonology,OrthopedicSurgery
 includingJointReplacement,General
 Medicine, General Surgery, Urology &
 Nephrology(IncludingDialysis),
 GastroenterologyandGISurgery,
 Cancertreatment(Surgery,
 Chemotherapy&Radiotherapy)and
 Diagnostics.",,CGHS_hospitals,1,,28.52764,77.21209,"Max Super
 Speciality Hospital, 1, 2, Press Enclave Marg, Saket Institutional Area, Saket, New Delhi, Delhi, , 110017",28.5275878,77.2115049,110017,"MAX Hospital, 2, Pandit Trilok Chandra Sharma Marg, Press Enclave, Hauz Khas Tehsil, South Delhi District, Delhi, 110017, India"
417,"Saket City
 Hospital","Press Enclave Road,
 Saket,
 New Delhi â€“ 110017.
 Tel. No. 011-26852112.",,,,India,,,,,,28.527638,77.2120949,ROOFTOP,"NABH/
 NABL
 Accredited","Cardiology&CardiothoracicSurgery,
 Endoscopic/Laparoscopicprocedures,
 Gynecology & Obstetrics, Pulmonology,
 OrthopedicSurgeryincludingJoint
 Replacement, General Medicine, General
 Surgery,Neurology&Neurosurgery,
 Urology&Nephrology(Including
 Dialysis),GastroenterologyandGI
 Surgery,Paediatrics,Eye&ENT,
 Dental,Cancertreatment(Surgery,
 Chemotherapy&Radiotherapy)and
 Diagnostics.",,CGHS_hospitals,1,,,unable to locate,"Saket City
 Hospital, Press Enclave Road,
 Saket,
 New Delhi â€“ 110017.
 Tel. No. 011-26852112., , ",28.5291215,77.2137852,110017,"25A, Hauz Rani, Hauz Khas Tehsil, South Delhi District, Delhi, 110017, India"
418,"Mahavir
 International
","264-b-1,HauzRaniMarket,
 NearSaket,New Delhi
 110017. ",,,,India,,,,,,28.528576,77.2095805,GEOMETRIC_CENTER,Non-NABH,"MRI, CT-Scan",,CGHS_hospitals,0,,,,"Mahavir
 International
, 264-b-1,HauzRaniMarket,
 NearSaket,New Delhi
 110017. ",28.5305794,77.2146302,110017,"Mahavir
 International
, 264-b-1,HauzRaniMarket,
 NearSaket,New Delhi
 110017. "
419,"Sunil Hospital
 ","15/199-200, Geetanjali
 Road, Malviya Nagar,
 New Delhi ",110017,,,India,,,,,,28.53090172,77.20243594,GEOMETRIC_CENTER,Non-NABH,"Endoscopy/Laparoscopicprocedures,
 Gynecology&ObstetricsENT&
 Urology,GeneralMedicine&
 Orthopedics.",,CGHS_hospitals,1,Found but permanently closed on Google,,,"Sunil Hospital
 , 15/199-200, Geetanjali
 Road, Malviya Nagar,
 New Delhi , , 110017",28.5360299,77.2092343,110017,"Shivalik, Malviya Nagar, Hauz Khas Tehsil, South Delhi District, Delhi, 110017, India"
420,"AggrawalEye
 Institute","A-235,Shivalik,Malviya
 Nagar, (Near Bus Terminal),
 New Delhi-.",110017,,,India,,,,,,28.531553,77.2075021,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.531553,77.2075021,"AggrawalEye
 Institute, A-235,Shivalik,Malviya
 Nagar, (Near Bus Terminal),
 New Delhi-., , 110017",28.5315157,77.2074827,110017,"Aggarwal Eye Institute, Guru Gobind Singh Marg, Malviya Nagar, Hauz Khas Tehsil, South Delhi District, Delhi, 110017, India"
421,"Precision Dental
 Care","C-159, Sarita Vihar, New Delhi.
 Tel. No. 011-26956300,
 29942418.",,,,India,,,,,,28.5317776,77.2930606,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Precision Dental
 Care, C-159, Sarita Vihar, New Delhi.
 Tel. No. 011-26956300,
 29942418., , ",28.536019,77.294302,110076,"Shaheen Bagh, Sarita Vihar Tehsil, South East Delhi District, Delhi, 110076, India"
422,"Kailash
 Hospital Ltd.","Plot No 23, near Pari Chowk, Knowledge Park I, Greater Noida, Uttar Pradesh",201310,,,India,,,,,,28.47076043,77.50531254,APPROXIMATE,"NABH
 Accredited w.e.f.
 01.02.2016/
 NABL
 Accredited","Cardiology&Cardiothoracic
 Surgery, Endoscopic/ Laparoscopic
 procedures,Gynecology&
 Obstetrics,OrthopedicSurgery
 includingJointReplacement,
 General Medicine, General Surgery,
 Neurology&Neurosurgery,
 Urology&Nephrology(Including
 Dialysis), Gastroenterology and GI
 Surgery,Paediatrics,Eye&ENT,
 Dental, Cancer treatment (Surgery,
 Chemotherapy) and Diagnostics.",,CGHS_hospitals,1,,28.4707604,77.50531254,"Kailash
 Hospital Ltd., Plot No 23, near Pari Chowk, Knowledge Park I, Greater Noida, Uttar Pradesh, , 201310",28.465173,77.5116815,201308,"Pari Chowk, JP Greens, Sector 20, Greater Noida, Gautam Buddha Nagar, Gautam Buddha Nagar District, Uttar Pradesh, 201308, India"
423,"IndianSpinal
 Injuries Centre","Opp. Vasant Valley School, IAA Colony, Sector C, Vasant Kunj, New Delhi, Delhi",110070,,,India,,,,,,28.53320573,77.14261516,GEOMETRIC_CENTER,"NABH /
 NABL
 Accredited","Endoscopic/Laparoscopicprocedures,
 OrthopedicSurgeryincludingJoint
 Replacement,Pulmonology,General
 Medicine, General Surgery, Neurology
 &Neurosurgery,Plasticsurgery,
 Urology&Nephrology(Including
 Dialysis),GastroenterologyandGI
 Surgery, Eye & ENT, Cancer treatment
 (Surgery,Chemotherapy)and
 Diagnostics. Interventional Cardiology
 added w.e.f 14.07.2017.",,CGHS_hospitals,1,,28.53320573,77.14261,"IndianSpinal
 Injuries Centre, Opp. Vasant Valley School, IAA Colony, Sector C, Vasant Kunj, New Delhi, Delhi, , 110070",28.5331647,77.1420854,110037,"Indian Spinal Injuries Centre, Abdul Gaffar Khan Marg, Vasant Kunj, Vasant Vihar Tehsil, New Delhi District, Delhi, 110037, India"
424,"Dr. Lal Pathlabs
 Pvt.
 ","Building No.1, LSC, Sector-B,
 Pocket-7,NelsonMandela
 Marg, Vasant Kunj, New Delhi-
 110070.Tel.No.011-
 26134825",,,,India,,,,,,28.5342551,77.1525434,ROOFTOP,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Dr. Lal Pathlabs
 Pvt.
 , Building No.1, LSC, Sector-B,
 Pocket-7,NelsonMandela
 Marg, Vasant Kunj, New Delhi-
 110070.Tel.No.011-
 26134825, , ",28.542184,77.1580713,110067,"Nelson Mandela Marg, Vasant Kunj, Vasant Vihar Tehsil, New Delhi District, Delhi, 110067, India"
425,"VenuEyeInstitute
 & Research Centre","1/31,SheikhSarai
 InstitutionalArea,Phase-2,
 New Delhi-",110017,,,India,,,,,,28.5345208,77.2244179,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5345208,77.22441,"VenuEyeInstitute
 & Research Centre, 1/31,SheikhSarai
 InstitutionalArea,Phase-2,
 New Delhi-, , 110017",28.5348303,77.2250673,110017,"Savitri Nagar, Phase I, Sheikh Sarai, Hauz Khas Tehsil, South Delhi District, Delhi, 110017, India"
426,"M.D. Eye Care and
 Laser Centre","M-165, Block M, Greater Kailash II, Greater Kailash, 2, New, Delhi",110048,,,India,,,,,,28.5355225,77.2429087,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5355225,77.2429087,"M.D. Eye Care and
 Laser Centre, M-165, Block M, Greater Kailash II, Greater Kailash, 2, New, Delhi, , 110048",28.5355225,77.2429087,110048,"Road Number 5, Greater Kailash II, Alaknanda, Kalkaji Tehsil, South East Delhi District, Delhi, 110048, India"
427,"B.R. Diagnostics
 ","W-15,GreaterKailash-I,New
 Delhi ",,,,India,,,,,,28.5361378,77.2386527,GEOMETRIC_CENTER,"NABH w.e.f
 8.10.2015","X-ray,CT-Scan,Ultra-sound,
 Mammography,Bone
 Densitometry.MRIadded
 w.e.f01.2.2017.",,CGHS_hospitals,0,,,,"B.R. Diagnostics
 , W-15,GreaterKailash-I,New
 Delhi-48.  ",28.55434,77.2338,110048,"Greater Kailash I, Kalkaji Tehsil, South East Delhi District, Delhi, 110048, India"
428,"Foresight Eye
 Clinic,","RPS Flats, 106, Pocket A, Sheikh Sarai Phase 1, Sheikh Sarai, New Delhi, Delhi",110017,,,India,,,,,,28.53747634,77.2193932,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.537476,77.219393,"Foresight Eye
 Clinic,, RPS Flats, 106, Pocket A, Sheikh Sarai Phase 1, Sheikh Sarai, New Delhi, Delhi, , 110017",28.5372456,77.2185334,110017,"Phase II, Sheikh Sarai, Hauz Khas Tehsil, South Delhi District, Delhi, 110017, India"
429,"Medeor
 Hospital
 Ltd.","B-33-34, Block B, Qutab Institutional Area, New Delhi, Delhi",110016,,,India,,,,,,28.5375085,77.1812317,ROOFTOP,"NABH /
 NABL
 Accredited","General Medicine, General Surgery, OBS
 &Gynae,Endoscopic/Laparoscopic
 procedures,Paediatrics,Pulmonology,
 OrthopedicsIncludingJoint
 Replacement,Dental,Cardiology&
 CardiothoracicSurgery,
 Gastroenterology , Urology, Nephrology
 includingDialysis,Neurology,Neuro
 Surgery,ENT,Eye,Cancertreatment
 (Surgery, Chemotherapy)and Diagnostic.
 KidneyTransplantation
 w.e.f.01.01.2016",,CGHS_hospitals,1,,28.5375085,77.1812317,"Medeor
 Hospital
 Ltd., B-33-34, Block B, Qutab Institutional Area, New Delhi, Delhi, , 110016",28.539019,77.184645,110067,"B block, Shaheed Jeet Singh Marg, Kalu Sarai, Hauz Khas, Mehrauli Tehsil, South Delhi District, Delhi, 110067, India"
430,"Netram Eye Centre
 ","I -1791, C R Park, near IDBI Bank, New Delhi, Delhi",110019,,,India,,,,,,28.5386129,77.2510373,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5386129,77.251037,"Netram Eye Centre
 , I -1791, C R Park, near IDBI Bank, New Delhi, Delhi, , 110019",28.5386992,77.2509917,110019,"Bipinchandra Pal Marg, Market 2, Chittaranjan Park, Kalkaji Tehsil, South East Delhi District, Delhi, 110019, India"
431,"Indian Instituteof
 Ophthalmology
 
","C-2, opposite Savitri Cinema Bus Stand, Part 2, Greater Kailash Enclave II, Greater Kailash, New Delhi, Delhi",110048,,,India,,,,,,28.5396408,77.2369545,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.53964,77.23695,"Indian Instituteof
 Ophthalmology
, C-2, opposite Savitri Cinema Bus Stand, Part 2, Greater Kailash Enclave II, Greater Kailash, New Delhi, Delhi, , 110048",28.53964,77.23695,110048,"Indian Instituteof
 Ophthalmology
 
, C-2, opposite Savitri Cinema Bus Stand, Part 2, Greater Kailash Enclave II, Greater Kailash, New Delhi, Delhi, , 110048"
432,"AKHealth
 QuotientIndia
 Pvt. Ltd.","E-117,Kalkaji,Opp.Laxmi
 Narayan Temple, New Delhi-19.
 Tel.No.011-26444537,
 41023777.",,,,India,,,,,,28.5399515,77.2591579,APPROXIMATE,"NABL
 Accredited",Laboratory Investigations.,,CGHS_hospitals,0,,,,"AKHealth
 QuotientIndia
 Pvt. Ltd., E-117,Kalkaji,Opp.Laxmi
 Narayan Temple, New Delhi-19.
 Tel.No.011-26444537,
 41023777., , ",28.5293797,77.253313,110019,"DDA Flats, Kalkaji, Kalkaji Tehsil, South East Delhi District, Delhi, 110019, India"
433,"VinayakDental
 Clinic
 
 Empanelled
 w.e.f. 11.06.2020","G-2A, Basement, Kalkaji, New
 Delhi-110019",,,,India,,,,,,28.5410918,77.2587036,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"VinayakDental
 Clinic
 
 Empanelled
 w.e.f. 11.06.2020, G-2A, Basement, Kalkaji, New
 Delhi-110019, , ",28.5399515,77.2591579,110019,"Rampuri, Kalkaji, Kalkaji Tehsil, South East Delhi District, Delhi, 110019, India"
434,"Visitech Eye Centre
","Metro Station, Near, Plot No 2, Pocket 1, Jasola Vihar, Shaheen Bagh, Pocket 1, Jasola, New Delhi, Delhi",110025,,,India,,,,,,28.54241445,77.29393444,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.542414,77.293934,"Visitech Eye Centre
, Metro Station, Near, Plot No 2, Pocket 1, Jasola Vihar, Shaheen Bagh, Pocket 1, Jasola, New Delhi, Delhi, , 110025",28.5422854,77.2939508,110076,"HDFC Bank, GD Birla Marg, District Centre, Jasola, Sarita Vihar Tehsil, South East Delhi District, Delhi, 110076, India"
435,"GenX
 Diagnostics","2/6,FirstFloor,Sarvapriya
 Vihar, New Delhi â€“ 110016.",,,,India,,,,,,28.5428782,77.2037936,ROOFTOP,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"GenX
 Diagnostics, 2/6,FirstFloor,Sarvapriya
 Vihar, New Delhi â€“ 110016., , ",28.5428787,77.2037804,110017,"Kalu Sarai, Hauz Khas, Hauz Khas Tehsil, South Delhi District, Delhi, 110017, India"
436,"Cygnus
 Orthocare
 Hospital","C-5/29, Block 7, Opp., IIT Delhi Main Road, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi",110016,,,India,,,,,,28.543298,77.207577,GEOMETRIC_CENTER,"NABH w.e.f.
 1.1.2017","GeneralMedicine,Gynae&Obs.,
 Orthopedicsandjointreplacements,
 GeneralSurgery,
 Endoscopic/Laproscopicprocedures,
 Neurology&NeuroSurgery,
 Gastroenterology,Dental,Urology&
 Nephrology, Eye, ENT and Diagnostics.","Tel. No. 011-
 42505050.",CGHS_hospitals,1,,28.543298,77.207577,"Cygnus
 Orthocare
 Hospital, C-5/29, Block 7, Opp., IIT Delhi Main Road, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi, , 110016",28.5454546,77.1960853,110016,"IIT Delhi Main Road, Hauz Khas Enclave, Hauz Khas, Hauz Khas Tehsil, South Delhi District, Delhi, 110016, India"
437,"DentalHealers
 Pvt. Ltd.,
 
 ","B-6, Greater Kailash Enclave-
 I, New Delhi - 110048.",,,,India,,,,,,28.5433341,77.2424982,ROOFTOP,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"DentalHealers
 Pvt. Ltd.,
 
 , B-6, Greater Kailash Enclave-
 I, New Delhi - 110048., , ",28.544883,77.243773,110048,"Greater Kailash Enclave I, Kalkaji Tehsil, South East Delhi District, Delhi, 110048, India"
438,"Max Multi-
 Specialty Centre","N 110, Block N, Panchsheel Park North, Panchsheel Park, New Delhi, Delhi",110017,,,India,,,,,,28.5434353,77.2144746,ROOFTOP,"NABH w.e.f
 4.11.2015",Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5434353,77.214474,"Max Multi-
 Specialty Centre, N 110, Block N, Panchsheel Park North, Panchsheel Park, New Delhi, Delhi, , 110017",28.543454,77.2144232,110017,"Max Multi Speciality Centre, Ho Chi Minh Marg, Panchsheel Park, New Delhi District, Hauz Khas Tehsil, South Delhi District, Delhi, 110017, India"
439,"Dr.Shwetaâ€™s
 Dental Clinic","D-42, Kalkaji, New Delhi.
 Tel. No. 011-26414243",,,,India,,,,,,28.5447424,77.25537,ROOFTOP,"NABHAccredited
 w.e.f. 27.07.2016","All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Dr.Shwetaâ€™s
 Dental Clinic, D-42, Kalkaji, New Delhi.
 Tel. No. 011-26414243, , ",28.5312206,77.24951,110019,"Mandakini Enclave, Kalkaji Tehsil, South East Delhi District, Delhi, 110019, India"
440,I Care Centre,"Telephone exchange, C-6/9, behind Hauz Khas, Block C 6, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi",110016,,,India,,,,,,28.5456672,77.2006197,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5456672,77.2006197,"I Care Centre, Telephone exchange, C-6/9, behind Hauz Khas, Block C 6, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi, , 110016",28.5460603,77.1999152,110016,"Safdarjung Development Area, Hauz Khas Tehsil, South Delhi District, Delhi, 110016, India"
441,"Mahajan Imaging
 Pvt. Ltd.","K-18,HauzKhasEnclave,New
 Delhi",,,,India,,,,,,28.5464358,77.201337,ROOFTOP,"NABH
 Accredited
 w.e.f.
 04.05.2016","MRI, CT Scan, X- Ray, Ultra
 Sound,BoneDensitometry,
 Mammography.",,CGHS_hospitals,0,,,,"Mahajan Imaging
 Pvt. Ltd., K-18,HauzKhasEnclave,New
 Delhi",28.54578,77.201016,110024,"Mahajan Imaging
 Pvt. Ltd., K-18,HauzKhasEnclave,New
 Delhi"
442,"Mahajan Imaging
 Centre","B1, Vasant Kunj, New Delhi.",,,,India,,,,,,28.5464358,77.201337,ROOFTOP,Non-NABH,"NuclearMedicine,CTScan,
 X-Ray,UltraSound,Bone
 Densitometry, Mammography.",,CGHS_hospitals,0,,,,"Mahajan Imaging
 Centre, B1, Vasant Kunj, New Delhi.",28.5200397,77.1599976,110070,"Mahajan Imaging
 Centre, B1, Vasant Kunj, New Delhi."
443,"Dr.Gulati
 Imaging Institute","J-16, Hauz Khas Enclave, Main
 AurobindoMarg,NewDelhi.
 Tel. No. 011-49515253.",,,,India,,,,,,28.547213,77.2034622,ROOFTOP,"NABH
 Accredited","MRI,CTScan,X-rays,
 Ultrasound,ECHO,Colour
 Doppler,TMT&PFT,
 Mammography,Bone
 Densitometry",,CGHS_hospitals,0,,,,"Dr.Gulati
 Imaging Institute, J-16, Hauz Khas Enclave, Main
 AurobindoMarg,NewDelhi.
 Tel. No. 011-49515253., , ",28.547213,77.2034622,110016,"Hauz Khas Enclave, Hauz Khas, Hauz Khas Tehsil, South Delhi District, Delhi, 110016, India"
444,"Noida
 Medicare
 Centre Ltd.,
 ","30, Sector Rd, Sector 124, Noida, Uttar Pradesh",201303,,,India,,,,,,28.5481736,77.3222309,ROOFTOP,Non-NABH,"GeneralMedicine,General
 Surgery,Gynae.&Obst.,
 Orthopaedic(excludingJoint
 Replacement),Respiratory
 Medicine,Cardiology(Non-
 invasive),Nephrology,Urology
 (including dialysis and lithotripsy)
 and Diagnostics.",,CGHS_hospitals,1,,28.548173,77.32223,"Noida
 Medicare
 Centre Ltd.,
 , 30, Sector Rd, Sector 124, Noida, Uttar Pradesh, , 201303",28.5481736,77.3222309,201301,"Noida, Dadri, Gautam Buddha Nagar District, Uttar Pradesh, 201301, India"
445,"VasanEyeCare
 Hospital ","E-16, Greater Kailash, New
 Delhi-",110048,,,India,,,,,,28.5486519,77.2412358,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.54865,77.24123,"VasanEyeCare
 Hospital , E-16, Greater Kailash, New
 Delhi-, , 110048",28.514317,77.2017119,110068,"Said-ul-Ajaib Village, Saidulajaib Extension, Saket Tehsil, South Delhi District, Delhi, 110068, India"
446,"Centre For Smile
 ","61-D, Opp. Old JNU, Behind
 DDA Market, Ber Sarai, New
 Delhi-110016.",,,,India,,,,,,28.548966,77.181239,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Centre For Smile
 , 61-D, Opp. Old JNU, Behind
 DDA Market, Ber Sarai, New
 Delhi-110016., , ",28.5398035,77.1664047,110067,"School of Social Science 3, JNU Ring Road, Vasant Vihar Tehsil, New Delhi District, Mehrauli Tehsil, South Delhi District, Delhi, 110067, India"
447,"Dr.Lalchandani
 Labs","M-20,LowerGF,Greater
 KailashPart-I,NewDelhi-
 110048.",,,,India,,,,,,28.549274,77.234694,ROOFTOP,"NABL
 Accredited","LaboratoryInvestigations,
 USG,ColourDoppler,2D
 ECHO, X-ray.",,CGHS_hospitals,0,,,,"Dr.Lalchandani
 Labs, M-20,LowerGF,Greater
 KailashPart-I,NewDelhi-
 110048., , ",28.549274,77.234694,110048,"M-16, Hans Raj Gupta Marg, Greater Kailash I, Kalkaji Tehsil, South East Delhi District, Delhi, 110048, India"
448,Bharti Eye Hospital,"E 52, Block E, Greater Kailash I, Greater Kailash, New Delhi, Delhi",110048,,,India,,,,,,28.5495747,77.2438305,ROOFTOP,"NABH
 Accredited w.e.f
 10.7.2015",Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.54957,77.24383,"Bharti Eye Hospital, E 52, Block E, Greater Kailash I, Greater Kailash, New Delhi, Delhi, , 110048",28.5496404,77.2436094,110048,"Eklavya Vithi, Greater Kailash I, Kalkaji Tehsil, South East Delhi District, Delhi, 110048, India"
449,"Dr.P.Bhasin
 PathLabPvt.
 Ltd.","S-13, Hansraj Gupta Rd, Greater Kailash-1, Block S, Part – 1, Greater Kailash, New Delhi, Delhi 110048",,,,India,,,,,,28.549809,77.23338,ROOFTOP,"NABL
 Accredited/N
 on-NABH","Laboratory Investigations,
 Ultrasound, Color Doppler
 Bone Densitometry, ECHO,
 TMT, ECG.",,CGHS_hospitals,0,,,,"Dr.P.Bhasin
 PathLabPvt.
 Ltd., S-13, Hansraj Gupta Rd, Greater Kailash-1, Block S, Part – 1, Greater Kailash, New Delhi, Delhi 110048",28.5498503,77.2333689,110048,"Dr.P.Bhasin
 PathLabPvt.
 Ltd., S-13, Hansraj Gupta Rd, Greater Kailash-1, Block S, Part – 1, Greater Kailash, New Delhi, Delhi 110048"
450,"Dr.P.Bhasin
 Path Lab (p) Ltd.
 ","11/B-3, Sector-17, Dwarka, New
 Delhi. Tel. No. 011-65586558.",,,,India,,,,,,28.549809,77.23338,ROOFTOP,Non-NABL,Laboratory Investigations,,CGHS_hospitals,0,,,,"Dr.P.Bhasin
 Path Lab (p) Ltd.
 , 11/B-3, Sector-17, Dwarka, New
 Delhi. Tel. No. 011-65586558., , ",28.5675247,77.1631886,110057,"11, B-3, Vasant Vihar, Vasant Vihar Tehsil, New Delhi District, Delhi, 110057, India"
451,"Delhi Institute of
 Functional
 Imaging (DIFI)","14 Kaushalya Park, Hauz Khas,
 NewDelhi.Tel.No.011-
 43112233/44.",,,,India,,,,,,28.5500499,77.2053278,ROOFTOP,"NABH
 Accredited
 w.e.f.
 01.05.2017","NuclearMedicine,PET-CT
 (w.e.f. 26.6.2015)",,CGHS_hospitals,0,,,,"Delhi Institute of
 Functional
 Imaging (DIFI), 14 Kaushalya Park, Hauz Khas,
 NewDelhi.Tel.No.011-
 43112233/44., , ",28.5500499,77.2053278,110016,"Southy, Chaudhary Dalip Singh Marg, Hauz Khas, Hauz Khas Tehsil, South Delhi District, Delhi, 110016, India"
452,"Dr.Khanna 
 PathcarePvt.
 Ltd.","A-43, Hauz Khas, New Delhi.
",,,,India,,,,,,28.550794,77.209166,GEOMETRIC_CENTER,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Dr.Khanna 
 PathcarePvt.
 Ltd., A-43, Hauz Khas, New Delhi.",28.551608,77.174323,110067,"Dr.Khanna 
 PathcarePvt.
 Ltd., A-43, Hauz Khas, New Delhi."
453,Spectra Eye,"E-82-A, Greater Kailash-1, Greater Kailash I, Greater Kailash, New Delhi, Delhi",110048,,,India,,,,,,28.550994,77.2453878,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5509,77.24538,"Spectra Eye, E-82-A, Greater Kailash-1, Greater Kailash I, Greater Kailash, New Delhi, Delhi, , 110048",28.5502164,77.2397968,110048,"Mokksh Clinic, Shri Krishan Lal Nagpal Marg, Greater Kailash I, Kalkaji Tehsil, South East Delhi District, Delhi, 110048, India"
454,"Sanya
 Diagnostics(A
 unitofSanya
 GICImaging
 Pvt. Ltd.)","A-25, Near HDFC Bank, Hauz
 Khas,NewDelhi-110016.Tel.
 No. 011-42377777.",,,,India,,,,,,28.5522504,77.2092,ROOFTOP,"NABH
 Accredited","X-ray,Mammography,USG,
 MRI, CT, Bone Densitometry,",,CGHS_hospitals,0,,,,"Sanya
 Diagnostics(A
 unitofSanya
 GICImaging
 Pvt. Ltd.), A-25, Near HDFC Bank, Hauz
 Khas,NewDelhi-110016.Tel.
 No. 011-42377777., , ",28.5478897,77.2031247,110016,"Aurobindo Marg, Hauz Khas Enclave, Hauz Khas, Hauz Khas Tehsil, South Delhi District, Delhi, 110016, India"
455,"VatikaMedicare
 Pvt. Ltd.","H-1A, Ground Floor, Main
 Market, Hauz Khas, New Delhi -
 110016. Tel.No. 011-45317777.",,,,India,,,,,,28.5531839,77.2069795,GEOMETRIC_CENTER,"Non-NABL/
 Non-NABH","MRI, CT-Scan, Ultrasound, X-
 ray,ColourDoppler,
 Mammography,Bone-
 Densitometry.",,CGHS_hospitals,0,,,,"VatikaMedicare
 Pvt. Ltd., H-1A, Ground Floor, Main
 Market, Hauz Khas, New Delhi,
 110016",28.647187,77.176636,110049,"VatikaMedicare
 Pvt. Ltd., H-1A, Ground Floor, Main
 Market, Hauz Khas, New Delhi,
 110016"
456,"AsHealth
 Square ","H-1A,MainMarketRoad,
 Hauz Khas, New Delhi. Tel. No.
 011-45317777",,,,India,,,,,,28.5531839,77.2069795,GEOMETRIC_CENTER,Non-NABH,"X-ray, CT Scan, MRI, USG,
 ColourDopplerandBone
 Densitometry.",,CGHS_hospitals,0,,,,"AsHealth
 Square , H-1A,MainMarketRoad,
 Hauz Khas, New Delhi. Tel. No.
 011-45317777, , ",28.5531839,77.2069795,110016,"Hauz Khas Enclave, Hauz Khas, Hauz Khas Tehsil, South Delhi District, Delhi, 110016, India"
457,"SanghiMedical
 Centre Pvt. Ltd","S-51,GreaterKailash,New
 Delhi-110048.Tel.No.011-
 29238586.",,,,India,,,,,,28.5540385,77.2433626,GEOMETRIC_CENTER,"NABLAccredi
 ted",Laboratory Investigations.,,CGHS_hospitals,0,,,,"SanghiMedical
 Centre Pvt. Ltd, S-51,GreaterKailash,New
 Delhi-110048.Tel.No.011-
 29238586., , ",28.5365833,77.2367702,110048,"Kalkaji Tehsil, South East Delhi District, Delhi, 110048, India"
458,"Shroff Eye Centre, New Delhi","A-9, Lala Lajpat Rai Marg, Block A, Kailash Colony, Greater Kailash, New Delhi, Delhi",110048,,,India,,,,,,28.5542587,77.2430258,ROOFTOP,NON NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.554258,77.24302,"Shroff Eye Centre, New Delhi, A-9, Lala Lajpat Rai Marg, Block A, Kailash Colony, Greater Kailash, New Delhi, Delhi, , 110048",28.5650175,77.2361131,110049,"Galaxy Toyota, Mahatma Gandhi Marg, Defence Colony Police Quaters, Lajpat Nagar, Defence Colony Tehsil, South East Delhi District, Delhi, 110049, India"
