Sr. No,Name,Address,Pincode,City,State,Country,Type,admission_capacity,n_beds,latitude_coordinate,longitude_coordinate,gmaps_Latitude,gmaps_Longitude,gmaps_Accuracy,Accrediation,Domains,Contact,data_source_name,Surgical,Notes TJ,latitude_aleesha,longitude_aleesha,Manual Address,Latitude,Longitude
435,"GenX
 Diagnostics","2/6,FirstFloor,Sarvapriya
 Vihar, New Delhi â€“ 110016.",,,,India,,,,,,28.5428782,77.2037936,ROOFTOP,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"GenX
 Diagnostics, 2/6,FirstFloor,Sarvapriya
 Vihar, New Delhi â€“ 110016., , ",28.5428787,77.2037804
436,"Cygnus
 Orthocare
 Hospital","C-5/29, Block 7, Opp., IIT Delhi Main Road, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi",110016,,,India,,,,,,28.543298,77.207577,GEOMETRIC_CENTER,"NABH w.e.f.
 1.1.2017","GeneralMedicine,Gynae&Obs.,
 Orthopedicsandjointreplacements,
 GeneralSurgery,
 Endoscopic/Laproscopicprocedures,
 Neurology&NeuroSurgery,
 Gastroenterology,Dental,Urology&
 Nephrology, Eye, ENT and Diagnostics.","Tel. No. 011-
 42505050.",CGHS_hospitals,1,,28.543298,77.207577,"Cygnus
 Orthocare
 Hospital, C-5/29, Block 7, Opp., IIT Delhi Main Road, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi, , 110016",28.5454546,77.1960853
437,"DentalHealers
 Pvt. Ltd.,
 
 ","B-6, Greater Kailash Enclave-
 I, New Delhi - 110048.",,,,India,,,,,,28.5433341,77.2424982,ROOFTOP,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"DentalHealers
 Pvt. Ltd.,
 
 , B-6, Greater Kailash Enclave-
 I, New Delhi - 110048., , ",28.544883,77.243773
438,"Max Multi-
 Specialty Centre","N 110, Block N, Panchsheel Park North, Panchsheel Park, New Delhi, Delhi",110017,,,India,,,,,,28.5434353,77.2144746,ROOFTOP,"NABH w.e.f
 4.11.2015",Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5434353,77.214474,"Max Multi-
 Specialty Centre, N 110, Block N, Panchsheel Park North, Panchsheel Park, New Delhi, Delhi, , 110017",28.543454,77.2144232
439,"Dr.Shwetaâ€™s
 Dental Clinic","D-42, Kalkaji, New Delhi.
 Tel. No. 011-26414243",,,,India,,,,,,28.5447424,77.25537,ROOFTOP,"NABHAccredited
 w.e.f. 27.07.2016","All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Dr.Shwetaâ€™s
 Dental Clinic, D-42, Kalkaji, New Delhi.
 Tel. No. 011-26414243, , ",28.5312206,77.24951
440,I Care Centre,"Telephone exchange, C-6/9, behind Hauz Khas, Block C 6, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi",110016,,,India,,,,,,28.5456672,77.2006197,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5456672,77.2006197,"I Care Centre, Telephone exchange, C-6/9, behind Hauz Khas, Block C 6, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi, , 110016",28.5460603,77.1999152
441,"Mahajan Imaging
 Pvt. Ltd.","K-18,HauzKhasEnclave,New
 Delhi-16.
 Tel. No. 011-43138000.",,,,India,,,,,,28.5464358,77.201337,ROOFTOP,"NABH
 Accredited
 w.e.f.
 04.05.2016","MRI, CT Scan, X- Ray, Ultra
 Sound,BoneDensitometry,
 Mammography.",,CGHS_hospitals,0,,,,"Mahajan Imaging
 Pvt. Ltd., K-18,HauzKhasEnclave,New
 Delhi-16.
 Tel. No. 011-43138000., , ",28.5736157,77.2283792
442,"Mahajan Imaging
 Centre","B1, Vasant Kunj, New Delhi.
 Tel. No. 011-4277622.",,,,India,,,,,,28.5464358,77.201337,ROOFTOP,Non-NABH,"NuclearMedicine,CTScan,
 X-Ray,UltraSound,Bone
 Densitometry, Mammography.",,CGHS_hospitals,0,,,,"Mahajan Imaging
 Centre, B1, Vasant Kunj, New Delhi.
 Tel. No. 011-4277622., , ",28.5200397,77.1599976
443,"Dr.Gulati
 Imaging Institute","J-16, Hauz Khas Enclave, Main
 AurobindoMarg,NewDelhi.
 Tel. No. 011-49515253.",,,,India,,,,,,28.547213,77.2034622,ROOFTOP,"NABH
 Accredited","MRI,CTScan,X-rays,
 Ultrasound,ECHO,Colour
 Doppler,TMT&PFT,
 Mammography,Bone
 Densitometry",,CGHS_hospitals,0,,,,"Dr.Gulati
 Imaging Institute, J-16, Hauz Khas Enclave, Main
 AurobindoMarg,NewDelhi.
 Tel. No. 011-49515253., , ",28.547213,77.2034622
444,"Noida
 Medicare
 Centre Ltd.,
 ","30, Sector Rd, Sector 124, Noida, Uttar Pradesh",201303,,,India,,,,,,28.5481736,77.3222309,ROOFTOP,Non-NABH,"GeneralMedicine,General
 Surgery,Gynae.&Obst.,
 Orthopaedic(excludingJoint
 Replacement),Respiratory
 Medicine,Cardiology(Non-
 invasive),Nephrology,Urology
 (including dialysis and lithotripsy)
 and Diagnostics.",,CGHS_hospitals,1,,28.548173,77.32223,"Noida
 Medicare
 Centre Ltd.,
 , 30, Sector Rd, Sector 124, Noida, Uttar Pradesh, , 201303",28.5481736,77.3222309
445,"VasanEyeCare
 Hospital ","E-16, Greater Kailash, New
 Delhi-",110048,,,India,,,,,,28.5486519,77.2412358,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.54865,77.24123,"VasanEyeCare
 Hospital , E-16, Greater Kailash, New
 Delhi-, , 110048",28.514317,77.2017119
446,"Centre For Smile
 ","61-D, Opp. Old JNU, Behind
 DDA Market, Ber Sarai, New
 Delhi-110016.",,,,India,,,,,,28.548966,77.181239,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Centre For Smile
 , 61-D, Opp. Old JNU, Behind
 DDA Market, Ber Sarai, New
 Delhi-110016., , ",28.5398035,77.1664047
447,"Dr.Lalchandani
 Labs","M-20,LowerGF,Greater
 KailashPart-I,NewDelhi-
 110048.",,,,India,,,,,,28.549274,77.234694,ROOFTOP,"NABL
 Accredited","LaboratoryInvestigations,
 USG,ColourDoppler,2D
 ECHO, X-ray.",,CGHS_hospitals,0,,,,"Dr.Lalchandani
 Labs, M-20,LowerGF,Greater
 KailashPart-I,NewDelhi-
 110048., , ",28.549274,77.234694
448,Bharti Eye Hospital,"E 52, Block E, Greater Kailash I, Greater Kailash, New Delhi, Delhi",110048,,,India,,,,,,28.5495747,77.2438305,ROOFTOP,"NABH
 Accredited w.e.f
 10.7.2015",Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.54957,77.24383,"Bharti Eye Hospital, E 52, Block E, Greater Kailash I, Greater Kailash, New Delhi, Delhi, , 110048",28.5496404,77.2436094
449,"Dr.P.Bhasin
 PathLabPvt.
 Ltd.","S-13,GreaterKailash,Part-I,
 NewDelhi,Tel.No.011-
 9311193111,",,,,India,,,,,,28.549809,77.23338,ROOFTOP,"NABL
 Accredited/N
 on-NABH","Laboratory Investigations,
 Ultrasound, Color Doppler
 Bone Densitometry, ECHO,
 TMT, ECG.",,CGHS_hospitals,0,,,,"Dr.P.Bhasin
 PathLabPvt.
 Ltd., S-13,GreaterKailash,Part-I,
 NewDelhi,Tel.No.011-
 9311193111,, , ",28.5498503,77.2333689
450,"Dr.P.Bhasin
 Path Lab (p) Ltd.
 ","11/B-3, Sector-17, Dwarka, New
 Delhi. Tel. No. 011-65586558.",,,,India,,,,,,28.549809,77.23338,ROOFTOP,Non-NABL,Laboratory Investigations,,CGHS_hospitals,0,,,,"Dr.P.Bhasin
 Path Lab (p) Ltd.
 , 11/B-3, Sector-17, Dwarka, New
 Delhi. Tel. No. 011-65586558., , ",28.5675247,77.1631886
451,"Delhi Institute of
 Functional
 Imaging (DIFI)","14 Kaushalya Park, Hauz Khas,
 NewDelhi.Tel.No.011-
 43112233/44.",,,,India,,,,,,28.5500499,77.2053278,ROOFTOP,"NABH
 Accredited
 w.e.f.
 01.05.2017","NuclearMedicine,PET-CT
 (w.e.f. 26.6.2015)",,CGHS_hospitals,0,,,,"Delhi Institute of
 Functional
 Imaging (DIFI), 14 Kaushalya Park, Hauz Khas,
 NewDelhi.Tel.No.011-
 43112233/44., , ",28.5500499,77.2053278
452,"Dr.Khannaâ€™s
 PathcarePvt.
 Ltd.","A-43, Hauz Khas, New Delhi.
 Mob. No. 9312210524.",,,,India,,,,,,28.550794,77.209166,GEOMETRIC_CENTER,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Dr.Khannaâ€™s
 PathcarePvt.
 Ltd., A-43, Hauz Khas, New Delhi.
 Mob. No. 9312210524., , ",28.551608,77.174323
453,Spectra Eye,"E-82-A, Greater Kailash-1, Greater Kailash I, Greater Kailash, New Delhi, Delhi",110048,,,India,,,,,,28.550994,77.2453878,ROOFTOP,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5509,77.24538,"Spectra Eye, E-82-A, Greater Kailash-1, Greater Kailash I, Greater Kailash, New Delhi, Delhi, , 110048",28.5502164,77.2397968
454,"Sanya
 Diagnostics(A
 unitofSanya
 GICImaging
 Pvt. Ltd.)","A-25, Near HDFC Bank, Hauz
 Khas,NewDelhi-110016.Tel.
 No. 011-42377777.",,,,India,,,,,,28.5522504,77.2092,ROOFTOP,"NABH
 Accredited","X-ray,Mammography,USG,
 MRI, CT, Bone Densitometry,",,CGHS_hospitals,0,,,,"Sanya
 Diagnostics(A
 unitofSanya
 GICImaging
 Pvt. Ltd.), A-25, Near HDFC Bank, Hauz
 Khas,NewDelhi-110016.Tel.
 No. 011-42377777., , ",28.5478897,77.2031247
455,"VatikaMedicare
 Pvt. Ltd.","H-1A, Ground Floor, Main
 Market, Hauz Khas, New Delhi -
 110016. Tel.No. 011-45317777.",,,,India,,,,,,28.5531839,77.2069795,GEOMETRIC_CENTER,"Non-NABL/
 Non-NABH","MRI, CT-Scan, Ultrasound, X-
 ray,ColourDoppler,
 Mammography,Bone-
 Densitometry.",,CGHS_hospitals,0,,,,"VatikaMedicare
 Pvt. Ltd., H-1A, Ground Floor, Main
 Market, Hauz Khas, New Delhi -
 110016. Tel.No. 011-45317777., , ",28.5694757,77.2202658
456,"AsHealth
 Square ","H-1A,MainMarketRoad,
 Hauz Khas, New Delhi. Tel. No.
 011-45317777",,,,India,,,,,,28.5531839,77.2069795,GEOMETRIC_CENTER,Non-NABH,"X-ray, CT Scan, MRI, USG,
 ColourDopplerandBone
 Densitometry.",,CGHS_hospitals,0,,,,"AsHealth
 Square , H-1A,MainMarketRoad,
 Hauz Khas, New Delhi. Tel. No.
 011-45317777, , ",28.5531839,77.2069795
457,"SanghiMedical
 Centre Pvt. Ltd","S-51,GreaterKailash,New
 Delhi-110048.Tel.No.011-
 29238586.",,,,India,,,,,,28.5540385,77.2433626,GEOMETRIC_CENTER,"NABLAccredi
 ted",Laboratory Investigations.,,CGHS_hospitals,0,,,,"SanghiMedical
 Centre Pvt. Ltd, S-51,GreaterKailash,New
 Delhi-110048.Tel.No.011-
 29238586., , ",28.5365833,77.2367702
458,"Shroff Eye Centre, New Delhi","A-9, Lala Lajpat Rai Marg, Block A, Kailash Colony, Greater Kailash, New Delhi, Delhi",110048,,,India,,,,,,28.5542587,77.2430258,ROOFTOP,NON NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.554258,77.24302,"Shroff Eye Centre, New Delhi, A-9, Lala Lajpat Rai Marg, Block A, Kailash Colony, Greater Kailash, New Delhi, Delhi, , 110048",28.5650175,77.2361131
459,"Vision Eye Centre
 
","19, Siri Fort Road, New
 Delhi -",110049,,,India,,,,,,28.5548963,77.2253963,ROOFTOP,"NABH
 Accredited w.e.f.
 17.07.2017",Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.55489,77.22539,"Vision Eye Centre
 
, 19, Siri Fort Road, New
 Delhi -, , 110049",28.5548023,77.2254089
460,"HealthView
 Diagnostic
 Centre
 ","Gyan DeepComplex,Ground
 Floor,LaxmiMarket,opp.
 CanaraBank,Munirka,New
 Delhi-110067.",,,,India,,,,,,28.5554143,77.1747443,GEOMETRIC_CENTER,Non NABH,"X-ray,OPG,USGand
 Laboratory Investigation.",,CGHS_hospitals,0,,,,"HealthView
 Diagnostic
 Centre
 , Gyan DeepComplex,Ground
 Floor,LaxmiMarket,opp.
 CanaraBank,Munirka,New
 Delhi-110067., , ",28.5554143,77.1747443
461,"NationalHeart
 Institute","49 50 Community Center, East of Kailash, New Delhi, Delhi",110065,,,India,,,,,,28.5573003,77.2457923,ROOFTOP,"NABH/
 NABL
 Accredited","Cardiology&CardiothoracicSurgery,
 Endoscopic/Laparoscopicprocedures,
 Gynecology&Obstetrics,Orthopedic
 SurgeryincludingJointReplacement,
 GeneralMedicine,GeneralSurgery,
 Neurology&Neurosurgery,
 Pulmonology,Urology&Nephrology
 (IncludingDialysis),Gastroenterology,
 Eye,Cancertreatment(Surgery,
 Chemotherapy) and Diagnostics.",,CGHS_hospitals,1,,28.5573,77.24579,"NationalHeart
 Institute, 49 50 Community Center, East of Kailash, New Delhi, Delhi, , 110065",28.5231441,77.207837
462,"CrystalDental
 Centre (A unit of
 CrystalDental
 Care Pvt. Ltd.
 ","31, Community Centre, Basant
 Lok, Vasant Vihar, New Dellhi-
 110057. Tel. No. 011-41603131",,,,India,,,,,,28.5583599,77.1639758,GEOMETRIC_CENTER,"NABH
 Accredited","All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"CrystalDental
 Centre (A unit of
 CrystalDental
 Care Pvt. Ltd.
 , 31, Community Centre, Basant
 Lok, Vasant Vihar, New Dellhi-
 110057. Tel. No. 011-41603131, , ",28.5230984,77.2077387
463,"Helvetia
 Diagnostic&
 Healthcare","B-2,GreaterKailash-I,New
 Delhi-110048.Tel.No.011-
 46566999.",,,,India,,,,,,28.5587114,77.2319014,GEOMETRIC_CENTER,Non NABH,"X-ray,USG,OPGand
 Laboratory Investigations,",,CGHS_hospitals,0,,,,"Helvetia
 Diagnostic&
 Healthcare, B-2,GreaterKailash-I,New
 Delhi-110048.Tel.No.011-
 46566999., , ",28.5289481,77.24642
464,"Oncquest
 Laboratories Ltd.","3-Factory Road, ADJ-Safdarjung
 Hospital,NewDelhi-110029.
 Tel.No. 011-26101240.",,,,India,,,,,,28.5594239,77.1941249,GEOMETRIC_CENTER,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Oncquest
 Laboratories Ltd., 3-Factory Road, ADJ-Safdarjung
 Hospital,NewDelhi-110029.
 Tel.No. 011-26101240., , ",28.5623846,77.1888986
465,"Unipath
 Diagnostics,
 ","C-4,GreenParkExtension,
 NewDelhi-110016.Tel.No.
 011-41055550.",,,,India,,,,,,28.5595037,77.2060804,ROOFTOP,"NABL
 Accredited","RealtimeRT-PCRforHCV
 RNA Qualitative test only",,CGHS_hospitals,0,,,,"Unipath
 Diagnostics,
 , C-4,GreenParkExtension,
 NewDelhi-110016.Tel.No.
 011-41055550., , ",28.5604543,77.2025451
466,Centre for Sight,"B – 5/24, Safdarjung Enclave, Opposite, Deer Park, Safdarjung Enclave, New Delhi, Delhi",110029,,,India,,,,,,28.559897,77.191072,0,"NABH
 Accredited w.e.f.
 01.03.2017",Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5598,77.19107,"Centre for Sight, B – 5/24, Safdarjung Enclave, Opposite, Deer Park, Safdarjung Enclave, New Delhi, Delhi, , 110029",28.5587277,77.1983736
467,"C15MRI
 Diagnosticand
 Research Centre
 
 ","C-15,GreenParkExtension,
 New Delhi â€“ 110016. Tel.No.
 Phone: 011-26850006, 05.",,,,India,,,,,,28.5600868,77.2031623,ROOFTOP,Non- NABH,"CTScan,MRI,X-rays,
 Ultrasound,Mammography,
 Bone Densitometry",,CGHS_hospitals,0,,,,"C15MRI
 Diagnosticand
 Research Centre
 
 , C-15,GreenParkExtension,
 New Delhi â€“ 110016. Tel.No.
 Phone: 011-26850006, 05., , ",28.5604129,77.2038997
468,"Dentem(GT
 DentaCare(P)
 Ltd.),
 ","F-3/11, Vasant Vihar, South
 West, Delhi-110057.",,,,India,,,,,,28.560508,77.163263,ROOFTOP,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Dentem(GT
 DentaCare(P)
 Ltd.),
 , F-3/11, Vasant Vihar, South
 West, Delhi-110057., , ",28.562133,77.1631603
469,"WisdomDental
 Maxillofacial and
 Implant Clinic
 ","F-46-47, Manish Global Mall,
 opp.MountCarmelSchool,
 Sec-22,Dwarka,Delhi-
 110077.",,,,India,,,,,,28.560704,77.059757,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"WisdomDental
 Maxillofacial and
 Implant Clinic
 , F-46-47, Manish Global Mall,
 opp.MountCarmelSchool,
 Sec-22,Dwarka,Delhi-
 110077., , ",28.5605166,77.0591934
470,"Adiva Super-
 Speciality Care
","C 1/C, Green Park Extension,, 4th floor, New Delhi, Delhi",110116,,,India,,,,,,28.56166443,77.20443864,GEOMETRIC_CENTER,Non-NABH,"GeneralMedicine,Gynae&Obs.,
 Orthopedics,GeneralSurgery,
 Endoscopic/Laproscopicprocedures,
 Neurology&NeuroSurgery,
 Gastroenterology,Urology&
 Nephrology and Diagnostics.",,CGHS_hospitals,1,,28.5616644,77.20443864,"Adiva Super-
 Speciality Care
, C 1/C, Green Park Extension,, 4th floor, New Delhi, Delhi, , 110116",28.5592508,77.2052603
471,"Clinical
 Laboratory,","E13/9,VasantVihar,New
 Delhi.",,,,India,,,,,,28.5628634,77.1630643,ROOFTOP,"NABL / Non-
 NABH",Laboratory facilities,,CGHS_hospitals,0,,,,"Clinical
 Laboratory,, E13/9,VasantVihar,New
 Delhi., , ",28.5833978,77.1664951
472,"T32 Dental Clinic
 ","1-C,VivekanandMarket,
 Sector-1,R.K.Puram,Hyatt-
 MunirkaRoad,NewDelhi-
 110022. Tel. No. 011-26173914",,,,India,,,,,,28.5633813,77.1823055,APPROXIMATE,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"T32 Dental Clinic
 , 1-C,VivekanandMarket,
 Sector-1,R.K.Puram,Hyatt-
 MunirkaRoad,NewDelhi-
 110022. Tel. No. 011-26173914, , ",28.5657,77.181298
473,"IClinixAdvanced
 Eye Care
 ","27/171, Vikram Vihar, Near
 MoolchandMetroStation,
 LajpatNagar-IV,New
 Delhi-.",110024,,,India,,,,,,28.5635043,77.2353717,GEOMETRIC_CENTER,Non-NABH,Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5635043,77.2353717,"IClinixAdvanced
 Eye Care
 , 27/171, Vikram Vihar, Near
 MoolchandMetroStation,
 LajpatNagar-IV,New
 Delhi-., , 110024",28.5637403,77.2363975
474,"Prayag Hospital
 & Research
 Centre Pvt.","J-206/A1 Sector 41 noida, Noida, Uttar Pradesh",201302,,,India,,,,,,28.5635981,77.3654447,ROOFTOP,"NABH
 Accredited w.e.f
 12.11.2018/
 NABL
 Accredited w.e.f.
 01.01.2019","General Medicine, General Surgery,
 GynecologyandObst,
 OrthopedicIncludingJoint
 Replacement,Eye,ENT,
 Psychiatry,Oncology(Medical),
 Otorhinolaryngology,Respiratory
 Medicine,Rheumatology,Medical
 Gastroenterology,Neurology,
 UrologywithDialysis,
 Neurosurgery,Dentaland
 Diagnostics.",,CGHS_hospitals,1,,28.5635981,77.3654447,"Prayag Hospital
 & Research
 Centre Pvt., J-206/A1 Sector 41 noida, Noida, Uttar Pradesh, , 201302",28.5635798,77.3654163
475,Bansal Hospital,"A-1 Ln, Friends Colony, New Friends Colony, New Delhi, Delhi",110025,,,India,,,,,,28.5637498,77.2715541,GEOMETRIC_CENTER,"NABH
 Accredited","GeneralMedicine,GeneralSurgery,
 Endoscopic/Laparoscopicprocedures,
 Gynae&Obs.,Pediatrics,ENT,GI
 surgery,Eye,Neurosurgery,
 OrthopedicsSurgeryincludingJoint
 Replacement,Nephrology,Dental
 Urology and Diagnostics.","
 9871897853, 011-
 46583333.",CGHS_hospitals,1,,28.5637498,77.2715541,"Bansal Hospital, A-1 Ln, Friends Colony, New Friends Colony, New Delhi, Delhi, , 110025",28.5650464,77.271438
476,"Makashir
 Diagnostics
 ","Lajpat Nagar, 4, New Delhi. Tel.
 No. 011-26222458.",,,,India,,,,,,28.5640847,77.2400256,ROOFTOP,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,0,,,,"Makashir
 Diagnostics
 , Lajpat Nagar, 4, New Delhi. Tel.
 No. 011-26222458., , ",28.5640773,77.2400293
477,"Navneesh Dental
 Clinic","B-3/1B, Safdarjung Enclave,
 New Delhi. Tel.No. 011-
 26162737.",,,,India,,,,,,28.5645241,77.1918542,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"Navneesh Dental
 Clinic, B-3/1B, Safdarjung Enclave,
 New Delhi. Tel.No. 011-
 26162737., , ",28.5601977,77.1922779
478,"GlowingLife
 Initiative
 
 ","A1/288,1stFloor,
 SafdarjungEnclave,New
 Delhi -110029.",,,,India,,,,,,28.564726,77.1949164,APPROXIMATE,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"GlowingLife
 Initiative
 
 , A1/288,1stFloor,
 SafdarjungEnclave,New
 Delhi -110029., , ",28.5601386,77.1991412
479,"GoyalMRI&
 Diagnostic
 Centre","B-1/12,SafdarjungEnclave,
 New Delhi.
 Tel.No.011-40771234,
 26107559.",,,,India,,,,,,28.5647775,77.1895818,ROOFTOP,"NABL
 Accredited
 /NABH w.e.f.
 01.05.2017","MRIScan,CTScan,
 Ultrasound,ColourDoppler,
 X-rayandLaboratory
 Investigations",,CGHS_hospitals,0,,,,"GoyalMRI&
 Diagnostic
 Centre, B-1/12,SafdarjungEnclave,
 New Delhi.
 Tel.No.011-40771234,
 26107559., , ",28.566928,77.1645597
480,"Eye7 Chaudhary
 Eye Centre","34, Ring Rd, Block P, Lajpat Nagar IV, Lajpat Nagar 4, New Delhi, Delhi",110024,,,India,,,,,,28.56517952,77.24893788,ROOFTOP,"NABH
 Accredited w.e.f.
 15.02.2019",Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.565179,77.248937,"Eye7 Chaudhary
 Eye Centre, 34, Ring Rd, Block P, Lajpat Nagar IV, Lajpat Nagar 4, New Delhi, Delhi, , 110024",28.5651793,77.2488957
481,"Instituteof
 Brainand
 Spine","L73, Block L, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi",110024,,,India,,,,,,28.5655729,77.244313,ROOFTOP,"NABH
 Accredited","GeneralMedicine,GeneralSurgery,
 Orthopaedic(IncludingJoint
 Replacement), Neurology, Neurosurgery,
 Eye and Diagnostics.",,CGHS_hospitals,1,,28.56557,77.244313,"Instituteof
 Brainand
 Spine, L73, Block L, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi, , 110024",28.565605,77.244203
482,"SaiDentaland
 Implant Clinic
 ","130,Mohammadpur,R.K.
 Puram,BehindBhikajiCama
 Place, New Delhi-110066. Tel.
 No. 9811119334",,,,India,,,,,,28.565711,77.186583,GEOMETRIC_CENTER,Non-NABH,"All Available Dental Care
 Facilities",,CGHS_hospitals,0,,,,"SaiDentaland
 Implant Clinic
 , 130,Mohammadpur,R.K.
 Puram,BehindBhikajiCama
 Place, New Delhi-110066. Tel.
 No. 9811119334, , ",28.5656802,77.186928
483,"Bhardwaj
 Hospital
 ","Nh-1, Sector - 29 Opposite Ganga Shopping Complex, Noida, Uttar Pradesh",201301,,,India,,,,,,28.5660379,77.3355626,GEOMETRIC_CENTER,"NABH
 Accredited
 w.e.f.
 01.01.2017/
 NABL
 Accredited w.e.f.
 15.02.2019","General Medicine, General Surgery,
 Endoscopic/Laparoscopic
 procedures,Eye,ENT,Obstetrics
 andGynaecology,Paediatrics,
 OrthopedicsurgerywithJoint
 replacement,Neurology,
 Cardiology,Gastroenterology,
 Dental & Diagnostics.",,CGHS_hospitals,1,,28.5660379,77.3355626,"Bhardwaj
 Hospital
 , Nh-1, Sector - 29 Opposite Ganga Shopping Complex, Noida, Uttar Pradesh, , 201301",28.5660379,77.3355626
484,"NewBalaji
 Hospital","Sri Balaji Hospital, Block D, Swarn Nagari, Sector Swarn Nagri, Greater Noida, Uttar Pradesh",201308,,,India,,,,,,28.46142747,77.53200248,GEOMETRIC_CENTER,Non-NABH,"General Medicine, Gynae & Obs.,
 Orthopedics and joint replacements,
 GeneralSurgery,ENT,Eyeand
 Diagnostics.",,CGHS_hospitals,1,,28.46142746,77.532002,"NewBalaji
 Hospital, Sri Balaji Hospital, Block D, Swarn Nagari, Sector Swarn Nagri, Greater Noida, Uttar Pradesh, , 201308",28.4613613,77.5319631
485,"Moolchand
 Hospital","Moolchand Flyover, Block M, Lajpat Nagar IV, Defence Colony, New Delhi, Delhi",110049,,,India,,,,,,28.5664245,77.2351427,GEOMETRIC_CENTER,"NABH/
 NABL
 Accredited","Cardiology&CardiothoracicSurgery,
 Endoscopic/Laparoscopicprocedures,
 Gynecology&Obstetrics,Orthopedic
 SurgeryincludingJointReplacement,
 GeneralMedicine,GeneralSurgery,
 Neurology&
 Neurosurgery,Pulmonology,Urology&
 Nephrology(IncludingDialysis),
 GastroenterologyandGISurgery,
 Paediatrics,Eye&ENT,Cancer
 treatment(Surgery,Chemotherapy&
 Radiotherapy) and Diagnostics.",,CGHS_hospitals,1,,28.5664245,77.2351427,"Moolchand
 Hospital, Moolchand Flyover, Block M, Lajpat Nagar IV, Defence Colony, New Delhi, Delhi, , 110049",28.5657167,77.2355225
486,Visitech Eye Centre,"A 10, South Extension, Block A, South Extension II, New Delhi, Delhi",110049,,,India,,,,,,28.56664073,77.22198911,ROOFTOP,"NABH
 Accredited",Exclusive Eye Care Centre,,CGHS_hospitals,1,,28.5666407,77.221989,"Visitech Eye Centre, A 10, South Extension, Block A, South Extension II, New Delhi, Delhi, , 110049",28.5652568,77.2207559
487,"Dr.DasPath
 Lab
 ","A-28,LowerGroundFloor,
 GhanshyamDassJainMarg,
 SouthExtn-2,NewDelhi-
 110049.Tel.No.011-
 40347981",,,,India,,,,,,28.5667976,77.2211677,GEOMETRIC_CENTER,Non-NABL,Laboratory Investigations,,CGHS_hospitals,0,,,,"Dr.DasPath
 Lab
 , A-28,LowerGroundFloor,
 GhanshyamDassJainMarg,
 SouthExtn-2,NewDelhi-
 110049.Tel.No.011-
 40347981, , ",28.5668081,77.2211195
488,"SRL Limited,
 ","74,PaschimiMarg,opp.C-
 BlockMarket,VasantVihar,
 Delhi-110057.Tel.No.011-
 42295329.",,,,India,,,,,,28.5669437,77.1590095,ROOFTOP,"NABL
 Accredited",Laboratory Investigations,,CGHS_hospitals,1,Incorrect surgical categorisation,28.56694,77.159,"SRL Limited,
 , 74,PaschimiMarg,opp.C-
 BlockMarket,VasantVihar,
 Delhi-110057.Tel.No.011-
 42295329., , ",28.5669437,77.1590095
489,"Dr.M.L.
 Aggarwal
 ImagingCentre
 Pvt. Ltd.","A-1/150,SafdarjungEnclave,
 Delhiâ€“110029.Tel.No.011
 2610 8922, 9810292981.",,,,India,,,,,,28.5673646,77.1952325,GEOMETRIC_CENTER,Non- NABH,"X-ray, Ultrasound, Colour
 Doppler and OPG, ECG and
 Uro-flowmetry",,CGHS_hospitals,0,,,,"Dr.M.L.
 Aggarwal
 ImagingCentre
 Pvt. Ltd., A-1/150,SafdarjungEnclave,
 Delhiâ€“110029.Tel.No.011
 2610 8922, 9810292981., , ",28.5692514,77.1979757
